date,location,location_name,value
2020-01-22,GM,Germany,0
2020-01-23,GM,Germany,0
2020-01-24,GM,Germany,0
2020-01-25,GM,Germany,0
2020-01-26,GM,Germany,0
2020-01-27,GM,Germany,0
2020-01-28,GM,Germany,0
2020-01-29,GM,Germany,0
2020-01-30,GM,Germany,0
2020-01-31,GM,Germany,0
2020-02-01,GM,Germany,0
2020-02-02,GM,Germany,0
2020-02-03,GM,Germany,0
2020-02-04,GM,Germany,0
2020-02-05,GM,Germany,0
2020-02-06,GM,Germany,0
2020-02-07,GM,Germany,0
2020-02-08,GM,Germany,0
2020-02-09,GM,Germany,0
2020-02-10,GM,Germany,0
2020-02-11,GM,Germany,0
2020-02-12,GM,Germany,0
2020-02-13,GM,Germany,0
2020-02-14,GM,Germany,0
2020-02-15,GM,Germany,0
2020-02-16,GM,Germany,0
2020-02-17,GM,Germany,0
2020-02-18,GM,Germany,0
2020-02-19,GM,Germany,0
2020-02-20,GM,Germany,0
2020-02-21,GM,Germany,0
2020-02-22,GM,Germany,0
2020-02-23,GM,Germany,0
2020-02-24,GM,Germany,0
2020-02-25,GM,Germany,0
2020-02-26,GM,Germany,0
2020-02-27,GM,Germany,0
2020-02-28,GM,Germany,0
2020-02-29,GM,Germany,0
2020-03-01,GM,Germany,0
2020-03-02,GM,Germany,0
2020-03-03,GM,Germany,0
2020-03-04,GM,Germany,0
2020-03-05,GM,Germany,0
2020-03-06,GM,Germany,0
2020-03-07,GM,Germany,0
2020-03-08,GM,Germany,0
2020-03-09,GM,Germany,2
2020-03-10,GM,Germany,2
2020-03-11,GM,Germany,3
2020-03-12,GM,Germany,3
2020-03-13,GM,Germany,7
2020-03-14,GM,Germany,9
2020-03-15,GM,Germany,11
2020-03-16,GM,Germany,17
2020-03-17,GM,Germany,24
2020-03-18,GM,Germany,28
2020-03-19,GM,Germany,44
2020-03-20,GM,Germany,67
2020-03-21,GM,Germany,84
2020-03-22,GM,Germany,94
2020-03-23,GM,Germany,123
2020-03-24,GM,Germany,157
2020-03-25,GM,Germany,206
2020-03-26,GM,Germany,267
2020-03-27,GM,Germany,342
2020-03-28,GM,Germany,433
2020-03-29,GM,Germany,533
2020-03-30,GM,Germany,645
2020-03-31,GM,Germany,775
2020-04-01,GM,Germany,920
2020-04-02,GM,Germany,1107
2020-04-03,GM,Germany,1275
2020-04-04,GM,Germany,1444
2020-04-05,GM,Germany,1584
2020-04-06,GM,Germany,1810
2020-04-07,GM,Germany,2016
2020-04-08,GM,Germany,2349
2020-04-09,GM,Germany,2607
2020-04-10,GM,Germany,2767
2020-04-11,GM,Germany,2736
2020-04-12,GM,Germany,3022
2020-04-13,GM,Germany,3194
2020-04-14,GM,Germany,3294
2020-04-15,GM,Germany,3804
2020-04-16,GM,Germany,4052
2020-04-17,GM,Germany,4352
2020-04-18,GM,Germany,4459
2020-04-19,GM,Germany,4586
2020-04-20,GM,Germany,4862
2020-04-21,GM,Germany,5033
2020-04-22,GM,Germany,5279
2020-04-23,GM,Germany,5575
2020-04-24,GM,Germany,5760
2020-04-25,GM,Germany,5877
2020-04-26,GM,Germany,5976
2020-04-27,GM,Germany,6126
2020-04-28,GM,Germany,6314
2020-04-29,GM,Germany,6467
2020-04-30,GM,Germany,6623
2020-05-01,GM,Germany,6736
2020-05-02,GM,Germany,6812
2020-05-03,GM,Germany,6866
2020-05-04,GM,Germany,6993
2020-05-05,GM,Germany,6993
2020-05-06,GM,Germany,7275
2020-05-07,GM,Germany,7392
2020-05-08,GM,Germany,7510
2020-05-09,GM,Germany,7549
2020-05-10,GM,Germany,7569
2020-05-11,GM,Germany,7661
2020-05-12,GM,Germany,7738
2020-05-13,GM,Germany,7861
2020-05-14,GM,Germany,7884
2020-05-15,GM,Germany,7897
2020-05-16,GM,Germany,7938
2020-05-17,GM,Germany,7962
2020-05-18,GM,Germany,8003
2020-05-19,GM,Germany,8081
2020-05-20,GM,Germany,8144
2020-05-21,GM,Germany,8203
2020-05-22,GM,Germany,8228
2020-05-23,GM,Germany,8261
2020-05-24,GM,Germany,8283
2020-05-25,GM,Germany,8309
2020-05-26,GM,Germany,8372
2020-05-27,GM,Germany,8428
2020-05-28,GM,Germany,8470
2020-05-29,GM,Germany,8504
2020-05-30,GM,Germany,8530
2020-05-31,GM,Germany,8540
2020-06-01,GM,Germany,8555
2020-06-02,GM,Germany,8563
2020-06-03,GM,Germany,8602
2020-06-04,GM,Germany,8635
2020-06-05,GM,Germany,8658
2020-06-06,GM,Germany,8673
2020-06-07,GM,Germany,8685
2020-06-08,GM,Germany,8695
2020-06-09,GM,Germany,8736
2020-06-10,GM,Germany,8752
2020-06-11,GM,Germany,8772
2020-06-12,GM,Germany,8783
2020-06-13,GM,Germany,8793
2020-06-14,GM,Germany,8801
2020-06-15,GM,Germany,8807
2020-06-16,GM,Germany,8820
2020-06-17,GM,Germany,8851
2020-06-18,GM,Germany,8875
2020-06-19,GM,Germany,8887
2020-06-20,GM,Germany,8895
